434803.536246	4495651.544291
437263.536246	4496791.544291
437533.536246	4499131.544291
438853.536246	4500061.544291
439363.536246	4495921.544291
440713.536246	4495171.544291
441553.536246	4495171.544291
442393.536246	4496281.544291
442603.536246	4500661.544291
444013.536246	4501681.544291
447343.536246	4501711.544291
448123.536246	4499521.544291
444703.536246	4495621.544291
446323.536246	4496281.544291
449533.536246	4498531.544291
447493.536246	4496251.544291
450913.536246	4496551.544291
450523.536246	4495921.544291
450523.536246	4494451.544291
450583.536246	4494271.544291
